Feature,Importance
per_capita_income,1738
expenditure_unit_monthly_income,1601
household_size,978
current_age,619
income_satisfaction_level,236
job_satisfaction_level,179
life_satisfaction_level,155
life_worthwhileness,146
mother_education_level_SecComp,71
father_education_level_SecComp,71
private_health_insurance_No,70
mother_education_level_PrimIncomp,67
father_education_level_PrimIncomp,60
mother_lives_household_Si,55
general_health_status_Bueno,47
gender_Fem,39
mobility_ability_AlgoDif,38
father_education_level_Ninguno,38
general_health_status_Regular,37
mother_education_level_PrimComp,37
mother_lives_household_Fallecida,36
mother_lives_household_No,35
vision_ability_AlgoDif,34
father_lives_household_Si,30
father_lives_household_Fallecido,29
father_lives_household_No,28
mother_education_level_NSNC,27
vision_ability_SinDif,27
mother_education_level_Ninguno,27
mobility_ability_SinDif,27
father_education_level_PrimComp,25
mother_education_level_UnivComp,23
private_health_insurance_Si,19
father_education_level_NSNC,19
has_chronic_disease_No,19
general_health_status_MuyBuen,18
mother_education_level_TecComp,17
father_education_level_SecIncomp,17
other_health_services_No,17
health_insurance_affiliation_No,16
mobility_ability_MuchaDif,16
gender_Masc,16
has_chronic_disease_Si,15
cognitive_ability_AlgoDif,14
father_education_level_UnivComp,13
mother_education_level_SecIncomp,12
mother_education_level_UnivIncomp,11
speech_ability_SinDif,10
general_health_status_Malo,9
hand_grip_ability_SinDif,9
self_care_ability_AlgoDif,9
eps_complementary_health_plan_No,9
hand_grip_ability_AlgoDif,8
health_insurance_affiliation_Si,8
vision_ability_MuchaDif,8
speech_ability_AlgoDif,8
father_education_level_UnivIncomp,7
health_issue_last_30_days_No,7
hearing_ability_AlgoDif,6
father_education_level_TecComp,5
hearing_ability_MuchaDif,5
hospitalization_surgery_policy_No,5
hearing_ability_SinDif,4
cognitive_ability_SinDif,4
self_care_ability_SinDif,3
health_issue_last_30_days_Si,3
other_health_services_Si,2
eps_complementary_health_plan_Si,1
hand_grip_ability_MuchaDif,1
mother_education_level_TecIncomp,0
mobility_ability_NoPuede,0
speech_ability_NoPuede,0
self_care_ability_MuchaDif,0
self_care_ability_NoPuede,0
hand_grip_ability_NoPuede,0
cognitive_ability_MuchaDif,0
cognitive_ability_NoPuede,0
father_education_level_TecIncomp,0
speech_ability_MuchaDif,0
hearing_ability_NoPuede,0
vision_ability_NoPuede,0
health_insurance_affiliation_NSNC,0
student_health_insurance_No,0
student_health_insurance_Si,0
hospitalization_surgery_policy_Si,0
